"co_code","date","open","high","low","close","mcap","volume"
"5400","2021-12-01","3535","3590","3535","3577.8","1323446.6","2102118"
"5400","2021-12-06","3640.45","3658","3522","3536.4","1308132.53","1849642"
"5400","2021-12-08","3601","3646.45","3601","3626.9","1341608.94","1428660"
"5400","2021-12-07","3562.5","3598","3524.3","3584.5","1325924.96","1484458"
"5400","2021-12-14","3605","3635","3576.7","3623.8","1340462.24","1747007"
"5400","2021-12-09","3610","3634.75","3566","3601.75","1332305.83","1567957"
"5400","2021-12-10","3585","3642","3575.1","3636.8","1345271","1510718"
"5400","2021-12-13","3650","3662","3601.7","3609.65","1335228.08","1883864"
"5400","2021-12-20","3589","3606","3510.15","3556.9","1315715.58","2312310"
"5400","2021-12-15","3620","3623","3558.15","3570.35","1320690.81","1603233"
"5400","2021-12-16","3582","3608.45","3570","3581.6","1324852.24","2072320"
"5400","2021-12-17","3602.5","3651.35","3573.7","3584.35","1325869.48","4333992"
"5400","2021-12-21","3582.65","3641.2","3566.4","3608.3","1334728.71","2340989"
"5400","2021-12-24","3685","3705","3644.8","3670.9","1357884.77","2209923"
"5400","2021-12-23","3648","3670.5","3630","3662.7","1354851.55","1792861"
"5400","2021-12-22","3624","3636.8","3606.25","3630.75","1343033.08","1224328"
"5400","2021-12-28","3710","3725","3693.85","3706.55","1371071.89","1456218"
"5400","2021-12-27","3671","3700","3653.1","3696.1","1367206.38","1534135"
"5400","2021-12-31","3742.8","3760","3731.3","3738.35","1382834.87","1207141"
"5400","2021-12-29","3692.25","3719.95","3685","3694.7","1366688.51","1456923"
"5400","2021-12-30","3681.35","3740","3680","3733.75","1381133.31","1966475"
"5400","2022-01-06","3812","3835","3772","3807.45","1408395.32","1810293"
"5400","2022-01-03","3750","3830","3745","3817.75","1412205.34","2346158"
"5400","2022-01-05","3865","3870","3812.4","3860.95","1428185.24","1733031"
"5400","2022-01-04","3831.1","3889.15","3811.7","3884.75","1436988.98","2488606"
"5400","2022-01-10","3978","3978","3861","3879.85","1435176.45","3937092"
"5400","2022-01-07","3820","3864.9","3796.4","3853.5","1425429.45","2460591"
"5400","2022-01-13","3918","3923","3857","3897.9","1441853.23","6684507"
"5400","2022-01-11","3856","3925","3856","3915.9","1448511.53","1906106"
"5400","2022-01-12","3925","3929","3836.55","3859.9","1427796.84","3203744"
"5400","2022-01-17","3992.7","4043","3962.3","4019.15","1486704.23","3442604"
"5400","2022-01-14","3877.85","3977","3860.05","3968.15","1467839.07","3348123"
"5400","2022-01-18","4033.95","4041.7","3980","3990.6","1476143.44","2389041"
"5400","2022-01-20","3910","3920","3811","3826.55","1415460.5","6176776"
"5400","2022-01-19","4012","4012","3910.5","3914.65","1448049.15","3102539"
"5400","2022-01-28","3646","3729.8","3646","3690.05","1364968.45","3143862"
"5400","2022-01-24","3840","3849.65","3740.1","3771.35","1395041.74","3258414"
"5400","2022-01-27","3731","3733.4","3625.1","3649.25","1349876.32","5718297"
"5400","2022-01-21","3807","3851.55","3771.1","3833.5","1418031.34","3112358"
"5400","2022-01-25","3769.5","3809.4","3722.2","3769.9","1394505.38","3330501"
"5400","2022-02-02","3827.9","3864","3800.65","3856.2","1426428.19","1984212"
"5400","2022-02-01","3770","3808","3736.4","3800.65","1405879.96","2105169"
"5400","2022-01-31","3749","3758","3721.4","3736.25","1382058.07","2739393"
"5400","2022-02-04","3815.3","3824.7","3769","3814.9","1411151.11","2307366"
"5400","2022-02-03","3851","3882.5","3816.05","3824.6","1414739.19","1960538"
"5400","2022-02-07","3791","3831.8","3756.15","3779","1397871.51","1919149"
"5400","2022-02-15","3786","3835","3748","3817.8","1412223.83","3931683"
"5400","2022-02-08","3791.55","3799.7","3721","3743.45","1384721.39","2946443"
"5400","2022-02-09","3750","3777.95","3746.1","3760.55","1391046.76","1638721"
"5400","2022-02-10","3789.8","3789.8","3758","3770.35","1394671.83","2112459"
"5400","2022-02-11","3752.5","3752.5","3690","3694.95","1366780.99","3851488"
"5400","2022-02-14","3724","3793.25","3710","3733.75","1381133.31","5951745"
"5400","2022-02-24","3474","3483.85","3391.1","3401.65","1258287.81","5039136"
"5400","2022-02-16","3844","3854.1","3806","3813.1","1410485.28","3256906"
"5400","2022-02-17","3825","3835","3779","3784.2","1399795.02","3134372"
"5400","2022-02-18","3769","3815.95","3757.6","3793.9","1403383.1","3688883"
"5400","2022-02-21","3810","3827.8","3705.55","3719.4","1375825.17","7465922"
"5400","2022-02-22","3650","3667.9","3570","3586.4","1326627.78","5408531"
"5400","2022-02-23","3611","3622.9","3555.65","3563.8","1318267.93","2426203"
"5400","2022-03-02","3552.5","3571.95","3506","3546.15","1311739.1","2761341"
"5400","2022-02-25","3468","3530","3462","3520.75","1302343.51","2549723"
"5400","2022-02-28","3490","3563.75","3455.9","3554.2","1314716.84","3288942"
"5400","2022-03-08","3460","3609","3460","3599.95","1331640","3300992"
"5400","2022-03-07","3450","3548","3431.55","3484.9","1289082.41","3054130"
"5400","2022-03-03","3562.85","3578.6","3530.1","3544.4","1311091.77","1928039"
"5400","2022-03-04","3501.5","3561.2","3487.05","3524.35","1303675.17","2370257"
"5400","2022-03-10","3684","3684","3615","3620.95","1339408.01","2005441"
"5400","2022-03-09","3605","3654","3597.05","3632.6","1343717.4","2719654"
"5400","2022-03-11","3603.25","3639.85","3592.85","3599.15","1331344.07","1623423"
"5400","2022-03-14","3580","3648.35","3580","3643","1347564.42","1765688"
"5400","2022-03-16","3640.5","3668","3616.25","3655.9","1352336.19","3090475"
"5400","2022-03-15","3659","3659","3585.4","3593.9","1329402.07","3651133"
"5400","2022-03-22","3640","3711","3625","3700.95","1369000.42","2907611"
"5400","2022-03-17","3696.6","3710","3660.3","3672.75","1358569.09","3600452"
"5400","2022-03-21","3696","3713.95","3615","3626.7","1341534.96","2413831"
"5400","2022-03-23","3708","3729.8","3690","3712.4","1373235.83","1596195"
"5400","2022-03-28","3695","3713","3661.2","3707.7","1371497.28","1760990"
"5400","2022-03-24","3700","3758.2","3695","3749.85","1387088.78","1879046"
"5400","2022-03-25","3759.9","3779.5","3672","3707.45","1371404.8","1690133"
"5400","2022-03-29","3694.75","3722","3691","3705.35","1370628","2689063"
